Case ID,Created Date,Closed Date,Case Origin,Number of Emails Received,Number of Emails Sent,Contact Reason,Bucket,Topic,Sub-Topic
500dV00000DuJ0cQAF,2025-08-04 06:53:55,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuJiAQAV,2025-08-04 07:20:22,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuK38QAF,2025-08-04 08:12:14,2025-08-05 08:47:02,Form_Mobile,1,1,Product Question,Account Management,Account Management - Cancellation,
500dV00000DuK4fQAF,2025-08-04 06:46:07,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuKEKQA3,2025-08-04 05:53:18,2025-08-07 14:50:04,Form_Mobile,4,4,Product Question,Account Management,Account Management - Cancellation,
500dV00000DuKG5QAN,2025-08-04 07:05:40,2025-08-05 08:15:14,Form_Web,1,1,New Scalable,Account Management,Account Management - MISC,
500dV00000DuKUVQA3,2025-08-04 07:45:21,,Form_Web,1,,Null,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuKUYQA3,2025-08-04 08:02:26,2025-08-04 14:18:58,Email,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuKhJQAV,2025-08-04 05:06:40,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuKnzQAF,2025-08-04 08:59:00,2025-08-04 13:52:43,Phone,,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuL8oQAF,2025-08-04 08:02:24,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuLGtQAN,2025-08-04 08:07:04,2025-08-04 13:59:39,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuLX4QAN,2025-08-04 07:23:08,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuLjvQAF,2025-08-04 07:16:42,2025-08-04 13:59:59,Form_Mobile,1,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuLwsQAF,2025-08-04 08:21:08,2025-08-05 11:37:23,Email,1,1,Systemic in Nature,Payments,Payments - Account Balance,
500dV00000DuLyLQAV,2025-08-04 05:39:00,2025-08-04 14:00:11,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuLyNQAV,2025-08-04 05:55:41,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuM89QAF,2025-08-04 08:12:17,2025-08-04 08:14:47,Outbound,,,Null,Account Management,Account Management - MISC,
500dV00000DuMBLQA3,2025-08-04 07:52:49,2025-08-05 08:34:00,Email,1,1,Product Question,Account Management,Account Management - Cancellation,
500dV00000DuMGCQA3,2025-08-04 07:40:43,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuMHhQAN,2025-08-04 05:45:17,2025-08-04 09:09:57,Email,1,1,Systemic in Nature,Broker Portfolio Management,Broker Portfolio Management - MISC,
500dV00000DuMKzQAN,2025-08-04 08:11:22,2025-08-04 12:13:24,Form_Mobile,1,1,Systemic in Nature,Broker Portfolio Management,Broker Portfolio Management - Transfer OUT,
500dV00000DuMZYQA3,2025-08-04 07:47:31,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuMb4QAF,2025-08-04 07:09:11,2025-08-04 14:02:39,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuMjIQAV,2025-08-04 09:22:16,2025-08-05 17:16:38,Form_Mobile,1,2,Systemic in Nature,Goodwill,Goodwill - Refunds,
500dV00000DuMmSQAV,2025-08-04 08:09:08,2025-08-05 08:39:00,Form_Mobile,1,1,System Issue,Account Management,Account Management - MISC,
500dV00000DuNAaQAN,2025-08-04 06:43:18,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuNAgQAN,2025-08-04 07:53:59,2025-08-05 08:31:21,Form_Mobile,1,1,Null,Account Opening,Account Opening - Opening Process,
500dV00000DuNVWQA3,2025-08-04 06:29:45,2025-08-04 14:00:11,Form_Web,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuNVYQA3,2025-08-04 06:49:38,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuNbzQAF,2025-08-04 06:27:22,2025-08-04 14:00:11,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuNiQQAV,2025-08-04 06:14:34,2025-08-04 14:00:11,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuNljQAF,2025-08-04 07:16:24,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuOHwQAN,2025-08-04 07:10:17,2025-08-04 14:06:10,Form_Mobile,2,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuOQ0QAN,2025-08-04 09:05:20,2025-08-04 14:05:59,Phone,,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuOTKQA3,2025-08-04 08:18:59,2025-08-04 12:25:04,Form_Mobile,1,1,Systemic in Nature,Broker Portfolio Management,Broker Portfolio Management - Transfer IN,
500dV00000DuObFQAV,2025-08-04 06:29:06,,Form_Mobile,1,,Null,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuOmbQAF,2025-08-04 07:09:48,2025-08-11 11:39:06,Form_Mobile,1,1,New Scalable,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuOoJQAV,2025-08-04 08:50:31,2025-08-08 09:11:33,Backoffice,1,3,Systemic in Nature,Account Opening,Account Opening - MISC,
500dV00000DuPM6QAN,2025-08-04 08:23:37,2025-08-04 14:05:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuPh1QAF,2025-08-04 07:04:03,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuQ5BQAV,2025-08-04 06:57:37,2025-08-06 16:29:43,Form_Mobile,1,2,Systemic in Nature,Account Management,Account Management - MISC,
500dV00000DuQA5QAN,2025-08-04 08:16:32,2025-08-11 11:50:30,Form_Mobile,1,2,New Scalable,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuQBdQAN,2025-08-04 07:00:33,2025-08-08 15:35:28,Form_Mobile,3,3,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuQRnQAN,2025-08-04 07:06:30,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuQVAQA3,2025-08-04 09:13:37,,Form_Mobile,1,,Null,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuQrZQAV,2025-08-04 07:14:34,2025-08-04 14:18:58,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuQtPQAV,2025-08-04 08:59:47,2025-08-05 09:08:29,Form_Mobile,1,1,Product Question,Payments,Payments - Withdrawals,
500dV00000DuR2xQAF,2025-08-04 09:39:52,2025-08-11 11:50:30,Form_Mobile,1,1,New Scalable,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuR9TQAV,2025-08-04 08:10:00,,Email,1,1,Null,Broker Trading,Broker Trading - MISC,
500dV00000DuRRAQA3,2025-08-04 08:50:30,2025-08-04 14:05:59,Phone,,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuRngQAF,2025-08-04 07:58:29,,Form_Mobile,3,4,Null,Account Management,Account Management - IT Issues,
500dV00000DuRniQAF,2025-08-04 07:58:50,2025-08-04 13:59:39,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuRuAQAV,2025-08-04 08:13:09,2025-08-05 08:38:00,Form_Mobile,1,1,New Scalable,Account Management,Account Management - MISC,
500dV00000DuRvjQAF,2025-08-04 07:51:13,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuSFEQA3,2025-08-04 08:42:06,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuSFIQA3,2025-08-04 09:21:54,,Form_Mobile,3,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuSJyQAN,2025-08-04 09:19:03,2025-08-04 13:52:43,Form_Web,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuSYgQAN,2025-08-04 09:05:43,2025-08-05 09:16:01,Email,1,1,Product Question,Account Management,Account Management - 2FA,
500dV00000DuSwgQAF,2025-08-04 09:11:23,2025-08-04 10:55:45,Phone,,1,Systemic in Nature,Taxes,Taxes - Tax Allowance,
500dV00000DuSzrQAF,2025-08-04 07:41:55,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuT1VQAV,2025-08-04 08:18:41,2025-08-05 08:46:26,Form_Mobile,1,1,Systemic in Nature,Account Management,Account Management - Client Documents,Portfolio Report
500dV00000DuT6MQAV,2025-08-04 07:45:02,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTCjQAN,2025-08-04 07:30:48,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTG3QAN,2025-08-04 09:24:29,2025-08-04 09:24:29,Phone,,,Product Question,Payments,Payments - Deposits,
500dV00000DuTO2QAN,2025-08-04 07:58:45,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTW7QAN,2025-08-04 07:35:02,2025-08-04 13:59:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTW9QAN,2025-08-04 07:39:50,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTXuQAN,2025-08-04 09:43:00,2025-08-04 09:43:00,Phone,,,Systemic in Nature,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTZLQA3,2025-08-04 08:19:54,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuTcZQAV,2025-08-04 07:47:39,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTeEQAV,2025-08-04 09:09:42,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - Trade Issues,
500dV00000DuTkcQAF,2025-08-04 07:43:35,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuTkhQAF,2025-08-04 08:08:48,2025-08-08 09:44:29,Form_Mobile,2,3,Systemic in Nature,Broker Portfolio Management,Broker Portfolio Management - Transfer OUT,
500dV00000DuU2MQAV,2025-08-04 07:35:31,2025-08-05 17:09:28,Email,1,2,Null,Account Management,Account Management - Data Change,
500dV00000DuU7EQAV,2025-08-04 08:43:27,2025-08-05 08:59:52,Email,1,1,Product Question,Account Management,Account Management - Cancellation,
500dV00000DuUAZQA3,2025-08-04 08:53:45,,Email,1,1,Systemic in Nature,Account Management,Account Management - 2FA,
500dV00000DuUDiQAN,2025-08-04 08:38:53,2025-08-04 14:05:59,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuUITQA3,2025-08-04 07:34:09,2025-08-05 08:32:24,Email,1,1,Product Question,Account Management,Account Management - Cancellation,
500dV00000DuUVTQA3,2025-08-04 08:58:00,2025-08-12 09:50:59,Form_Web,3,3,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuUn8QAF,2025-08-04 08:28:51,2025-08-05 08:51:59,Form_Mobile,1,1,Systemic in Nature,Payments,Payments - Deposits,
500dV00000DuUs1QAF,2025-08-04 08:00:36,2025-08-04 11:59:46,Email,1,,No Reply,Other,Other - Marketing,
500dV00000DuUthQAF,2025-08-04 08:32:08,2025-08-07 12:47:07,Phone,,3,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuV06QAF,2025-08-04 08:56:44,,Phone,,2,Product Question,Account Management,Account Management - Client Documents,
500dV00000DuV9iQAF,2025-08-04 07:40:42,2025-08-04 13:59:59,Form_Web,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuVGHQA3,2025-08-04 08:39:28,2025-08-12 18:41:15,Form_Mobile,1,,Product Question,Broker Trading,Broker Trading - MISC,
500dV00000DuVeQQAV,2025-08-04 08:53:18,2025-08-05 09:06:22,Form_Mobile,1,1,Null,Payments,Payments - Withdrawals,
500dV00000DuVhfQAF,2025-08-04 09:30:39,,Form_Web,1,,Null,Taxes,Taxes - Tax Allowance,
500dV00000DuVo7QAF,2025-08-04 08:46:32,,Phone,1,1,New Scalable,Taxes,Taxes - Tax Calculation Details,
500dV00000DuVwAQAV,2025-08-04 08:25:32,2025-08-05 08:46:46,Form_Mobile,1,1,Systemic in Nature,Payments,Payments - Deposits,
500dV00000DuVwCQAV,2025-08-04 08:36:45,,Form_Mobile,2,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuW2fQAF,2025-08-04 08:51:18,2025-08-04 13:52:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuWFVQA3,2025-08-04 08:18:48,2025-08-05 08:42:52,Form_Web,1,1,Systemic in Nature,Account Opening,Account Opening - Opening Process,
500dV00000DuWH8QAN,2025-08-04 08:56:45,2025-08-05 09:07:41,Form_Web,1,1,Systemic in Nature,Account Management,Account Management - Client Documents,Portfolio Report
500dV00000DuWYtQAN,2025-08-04 09:04:32,2025-08-05 09:13:14,Email,1,,No Reply,Other,Other - Marketing,
500dV00000DuWc2QAF,2025-08-04 07:46:35,2025-08-11 12:59:54,Email,2,3,Product Question,Account Management,Account Management - IT Issues,App
500dV00000DuWc6QAF,2025-08-04 08:41:03,,Phone,,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuWnRQAV,2025-08-04 08:57:25,,Form_Mobile,1,,Null,Taxes,Taxes - Tax Allowance,
500dV00000DuWqXQAV,2025-08-04 07:46:39,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuX1pQAF,2025-08-04 07:47:13,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuXDBQA3,2025-08-04 08:23:29,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuXDFQA3,2025-08-04 09:03:58,2025-08-12 16:41:28,Form_Web,3,3,Systemic in Nature,Account Management,Account Management - Data Change,
500dV00000DuXI0QAN,2025-08-04 08:05:29,2025-08-07 12:48:40,Email,1,2,Systemic in Nature,Broker Portfolio Management,Broker Portfolio Management - Transfer OUT,
500dV00000DuXI9QAN,2025-08-04 09:21:00,2025-08-05 10:11:33,Phone,,3,Systemic in Nature,Payments,Payments - Deposits,
500dV00000DuXLLQA3,2025-08-04 09:15:54,2025-08-04 09:19:02,Phone,,1,Systemic in Nature,Account Management,Account Management - Client Documents,Portfolio Report
500dV00000DuXQ6QAN,2025-08-04 08:16:01,2025-08-04 08:16:10,Phone,,,Systemic in Nature,Account Management,Account Management - 2FA,
500dV00000DuXWeQAN,2025-08-04 09:37:54,2025-08-06 16:55:42,Email,2,2,Systemic in Nature,Payments,Payments - Withdrawals,
500dV00000DuXumQAF,2025-08-04 09:10:36,2025-08-04 09:54:51,Email,1,2,System Issue,Broker Trading,Broker Trading - Trade Issues,
500dV00000DuY7ZQAV,2025-08-04 07:55:42,2025-08-04 13:59:49,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuYCTQA3,2025-08-04 08:10:58,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuYPSQA3,2025-08-04 08:55:24,2025-08-04 14:05:59,Phone,,2,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuYShQAN,2025-08-04 09:19:39,2025-08-04 13:52:43,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuYVqQAN,2025-08-04 08:32:32,,Form_Mobile,1,,Null,Taxes,Taxes - Tax Calculation Details,
500dV00000DuYXNQA3,2025-08-04 07:59:25,2025-08-05 17:14:03,Email,1,2,Product Question,Payments,Payments - Account Balance,
500dV00000DuYYzQAN,2025-08-04 07:59:45,2025-08-04 18:58:19,Email,2,3,Systemic in Nature,Corporate Actions,Corporate Actions - Instructions,
500dV00000DuYacQAF,2025-08-04 08:04:12,2025-08-04 13:59:39,Form_Web,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuYanQAF,2025-08-04 08:38:25,,Form_Web,1,,Null,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuYcFQAV,2025-08-04 08:10:21,2025-08-06 16:11:06,Phone,,1,Systemic in Nature,Taxes,Taxes - MISC,
500dV00000DuYfdQAF,2025-08-04 09:29:12,2025-08-04 11:59:54,Phone,1,2,Product Question,Account Management,Account Management - 2FA,
500dV00000DuYkKQAV,2025-08-04 08:42:02,2025-08-05 09:18:04,Form_Mobile,1,1,Systemic in Nature,Payments,Payments - Deposits,
500dV00000DuYpKQAV,2025-08-04 09:13:31,2025-08-04 13:52:43,Form_Web,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuZ0SQAV,2025-08-04 08:18:24,2025-08-04 08:22:22,Phone,,1,Systemic in Nature,Account Management,Account Management - Cancellation,
500dV00000DuZ26QAF,2025-08-04 08:56:41,,Phone,,1,Systemic in Nature,Payments,Payments - Withdrawals,
500dV00000DuZ8dQAF,2025-08-04 08:56:45,,Outbound,1,2,Null,Payments,Payments - Deposits,
500dV00000DuZF4QAN,2025-08-04 09:06:33,2025-08-05 09:14:24,Form_Mobile,1,1,Null,Account Management,Account Management - MISC,
500dV00000DuZLcQAN,2025-08-04 10:03:57,2025-08-04 13:52:33,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuZRvQAN,2025-08-04 09:19:42,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
500dV00000DuZTUQA3,2025-08-04 08:31:01,2025-08-05 17:47:35,Form_Mobile,1,2,System Issue,Payments,Payments - Deposits,
500dV00000DuZVFQA3,2025-08-04 09:51:04,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - Trade Issues,
500dV00000DuZYRQA3,2025-08-04 09:43:38,,Phone,2,3,System Issue,Account Management,Account Management - MISC,
500dV00000DuZZtQAN,2025-08-04 08:06:08,,Form_Mobile,2,1,New Scalable,Broker Trading,Broker Trading - Savings Plans,
500dV00000DuZjfQAF,2025-08-04 09:09:26,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - Trade Issues,
500dV00000DuZoSQAV,2025-08-04 08:26:10,,Form_Mobile,1,,Null,Broker Trading,Broker Trading - MISC,
500dV00000DuZzlQAF,2025-08-04 09:06:30,2025-08-04 09:06:30,Phone,,,Systemic in Nature,Account Management,Account Management - Cancellation,
500dV00000DuaB2QAJ,2025-08-04 08:44:02,2025-08-04 14:19:09,Form_Mobile,1,1,Product Question,Corporate Actions,Corporate Actions - Stock Split,
